,sentimentr_jockersrinker,sentimentr_jockers,sentimentr_huliu,sentimentr_nrc,sentimentr_senticnet,sentimentr_sentiword,sentimentr_loughran_mcdonald,sentimentr_socal_google
25597,0.0,0.0,0.0,0.0,0.0,-0.023112508176051212,0.0,0.0
25598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25601,0.5333333333333333,0.5333333333333333,0.0,0.6666666666666666,-0.10333333333333333,-0.041666666666666664,0.3333333333333333,-0.7955781833333333
25602,0.0,0.0,0.0,0.0,0.23225001922189678,0.07795119555779044,0.0,0.0
25603,0.46188021535170065,0.46188021535170065,0.5196152422706632,0.23094010767585033,0.7778062826522638,0.19485571585149872,0.0,-0.7256182072187981
25604,0.5031152949374527,0.5031152949374527,1.0062305898749053,0.0,0.6218505045426915,0.0,0.0,0.0
25605,-0.36055512754639896,-0.06933752452815364,-0.5685677011308599,-0.2773500981126146,0.11898319209031166,-0.08667190566019206,0.0,0.534469036431055
25606,-0.07625,-0.07625,0.0,0.7625,0.53385,0.3359374999999999,0.0,2.88953627005
25607,-0.30151134457776363,-0.30151134457776363,-0.30151134457776363,0.0,0.4495534147654455,0.009422229518055113,0.0,0.0
25608,-0.25,-0.25,-0.5,0.0,0.0,-0.1875,-0.5,0.0
25609,-0.3333333333333333,-0.3333333333333333,0.0,-0.3333333333333333,0.1553333333333333,0.3541666666666667,0.0,1.2631852546666666
25610,0.0,0.0,0.0,0.0,0.32851230316889707,0.0,0.0,0.0
25611,-0.15075567228888181,-0.15075567228888181,-0.30151134457776363,0.0,0.04944786051075325,-0.11306675421666136,0.0,-0.8403576045457156
25612,0.16329931618554522,0.16329931618554522,-0.0816496580927726,0.24494897427831785,-0.018452822728966603,0.010206207261596574,0.0,-0.25275725674055344
25613,0.7348469228349536,0.7348469228349536,0.9185586535436918,0.0,0.6457467334412152,0.7463289060042496,0.9185586535436918,0.0
25614,0.0,0.0,0.0,0.0,0.3296670037072763,-0.07216878364870323,0.0,0.0
25615,-0.12909944487358055,-0.12909944487358055,0.0,-0.2581988897471611,-0.11257471592976226,-0.2581988897471611,0.0,0.0
25616,0.12909944487358055,0.12909944487358055,0.0,0.2581988897471611,0.1603415105329871,-0.11296201426438299,0.0,0.5507552011781266
25617,0.4496666666666666,0.44999999999999996,-0.00033333333333333365,0.75,0.8392499999999999,0.10933333333333334,0.0,0.0
25618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25619,0.2713602101199873,0.2713602101199873,0.30151134457776363,0.30151134457776363,-0.08532771051550711,-0.15075567228888181,0.0,0.5109265153922995
25620,0.0,0.0,0.0,0.0,-0.021213203435596423,0.0,0.0,0.0
25621,-0.033333333333333326,-0.033333333333333326,-0.06666666666666665,-0.06666666666666665,-0.314,-0.041666666666666664,0.0,0.0
25622,-0.07071067811865474,-0.07071067811865474,-0.07071067811865474,-0.07071067811865474,-0.014919953083036152,-0.026516504294495525,0.07071067811865474,-0.38608728117681035
25623,0.0,0.0,0.0,0.0,-0.23106853240254646,0.1786086270779401,0.0,0.0
25624,0.1336306209562122,0.1336306209562122,0.2672612419124244,0.0,0.34770687572806414,0.016703827619526525,0.2672612419124244,0.0
25625,-0.07537783614444091,-0.07537783614444091,0.0,-0.30151134457776363,-0.027739043701154254,0.10678526787129128,0.0,0.0
25626,-0.375,-0.375,-0.5,-0.5,-0.115,-0.10416666666666667,0.0,0.0
25627,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0
25628,0.0,0.0,0.5,-0.5,0.2375,0.34375,0.5,0.0
25629,0.0,0.0,0.0,0.0,0.0,-0.125,0.0,0.0
25630,0.0,0.0,0.0,0.0,0.1897074671090284,-0.023112508176051216,0.0,0.2292835707609275
25631,0.0,0.0,0.0,0.0,-0.045,0.0,0.0,0.0
25632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25633,0.4,0.4,0.5,0.0,0.04850000000000001,0.1778,0.0,0.0
25634,-0.4743416490252569,-0.4743416490252569,-0.6324555320336759,-0.31622776601683794,-0.16380598279672204,-0.03952847075210474,0.0,0.0
25635,0.025000000000000022,0.025000000000000022,0.0,-0.5,0.203,0.1778,0.0,0.0
25636,0.25,0.25,0.5,0.0,0.0,0.1875,0.0,0.0
25637,-0.30151134457776363,-0.30151134457776363,-0.30151134457776363,-0.30151134457776363,-0.024422418910798858,-0.018844459036110227,0.0,-1.0396191839446873
25638,-0.15075567228888181,-0.15075567228888181,-0.30151134457776363,-0.30151134457776363,0.06271435967217487,-0.42085958513979504,0.0,1.0295484957869168
25639,0.0,0.0,0.0,0.0,0.4932659969529625,0.11481983169296148,0.0,0.0
25640,0.0,0.0,0.0,0.0,0.527698146039318,0.19846415503393386,0.0,1.0808534356031319
25641,-0.125,-0.125,0.0,0.5,0.2745,0.3125,0.0,0.0
